state,district,block,year,preMonsoonLevel_m,postMonsoonLevel_m,recharge_MCM,extraction_MCM,status,aquiferType,qualityIndex,notes_en,notes_hi
Rajasthan,Jaipur,Block-A,2019,6.195,6.393,80.52,-8.3,Critical,22,154953,"Block-A, Amritsar - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary","Block-A, Amritsar - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary"
Rajasthan,Jaipur,Block-A,2020,6.279,6.393,81.46,-7.5,Critical,50,154953,"Block-A, Amritsar - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary","Block-A, Amritsar - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary"
Rajasthan,Jaipur,Block-A,2021,6.483,6.886,83.13,-18.4,Critical,59,154953,"Block-A, Amritsar - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary","Block-A, Amritsar - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary"
Rajasthan,Jaipur,Block-A,2022,6.328,6.886,76.71,-6,Critical,48,154953,"Block-A, Amritsar - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary","Block-A, Amritsar - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary"
Rajasthan,Jaipur,Block-A,2023,6.886,7.152,71.52,-6.9,Critical,92,154953,"Block-A, Amritsar - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary","Block-A, Amritsar - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Sedimentary"
Rajasthan,Jaipur,Block-B,2019,0.949,0.691,26.56,-8.7,Safe,47,182844,"Block-B, Jaipur - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-B, Jaipur - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Rajasthan,Jaipur,Block-B,2020,1.835,1.962,59.54,13.6,Safe,83,182844,"Block-B, Jaipur - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-B, Jaipur - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Rajasthan,Jaipur,Block-B,2021,1.835,1.962,58.7,-23.8,Safe,30,182844,"Block-B, Jaipur - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-B, Jaipur - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Rajasthan,Jaipur,Block-B,2022,1.962,1.843,56.04,-11.4,Safe,87,182844,"Block-B, Jaipur - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-B, Jaipur - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Rajasthan,Jaipur,Block-B,2023,1.843,1.267,43.93,-11.8,Safe,25,182844,"Block-B, Jaipur - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-B, Jaipur - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
